RegionNombre,Semana,Temp_Mediana_Semanal
Región Metropolitana de Santiago,2020-12-29,21.375
Región Metropolitana de Santiago,2021-01-05,19.3
Región Metropolitana de Santiago,2021-01-12,19.9
Región Metropolitana de Santiago,2021-01-19,21.3
Región Metropolitana de Santiago,2021-01-26,18.9
Región Metropolitana de Santiago,2021-02-02,18.1
Región Metropolitana de Santiago,2021-02-09,18.4
Región Metropolitana de Santiago,2021-02-16,18.4
Región Metropolitana de Santiago,2021-02-23,19.9
Región Metropolitana de Santiago,2021-03-02,21.3
Región Metropolitana de Santiago,2021-03-09,18.75
Región Metropolitana de Santiago,2021-03-16,16.0
Región Metropolitana de Santiago,2021-03-23,16.1
Región Metropolitana de Santiago,2021-03-30,15.1
Región Metropolitana de Santiago,2021-04-06,15.7
Región Metropolitana de Santiago,2021-04-13,16.35
Región Metropolitana de Santiago,2021-04-20,13.850000000000001
Región Metropolitana de Santiago,2021-04-27,13.05
Región Metropolitana de Santiago,2021-05-04,12.3
Región Metropolitana de Santiago,2021-05-11,12.2
Región Metropolitana de Santiago,2021-05-18,10.4
Región Metropolitana de Santiago,2021-05-25,10.9
Región Metropolitana de Santiago,2021-06-01,13.3
Región Metropolitana de Santiago,2021-06-08,10.9
Región Metropolitana de Santiago,2021-06-15,8.9
Región Metropolitana de Santiago,2021-06-22,7.6
Región Metropolitana de Santiago,2021-06-29,7.9
Región Metropolitana de Santiago,2021-07-06,7.6
Región Metropolitana de Santiago,2021-07-13,6.2
Región Metropolitana de Santiago,2021-07-20,9.8
Región Metropolitana de Santiago,2021-07-27,9.0
Región Metropolitana de Santiago,2021-08-03,9.2
Región Metropolitana de Santiago,2021-08-10,8.25
Región Metropolitana de Santiago,2021-08-17,10.649999999999999
Región Metropolitana de Santiago,2021-08-24,9.7
Región Metropolitana de Santiago,2021-08-31,11.0
Región Metropolitana de Santiago,2021-09-07,10.6
Región Metropolitana de Santiago,2021-09-14,11.85
Región Metropolitana de Santiago,2021-09-21,13.6
Región Metropolitana de Santiago,2021-09-28,12.75
Región Metropolitana de Santiago,2021-10-05,13.95
Región Metropolitana de Santiago,2021-10-12,13.8
Región Metropolitana de Santiago,2021-10-19,15.0
Región Metropolitana de Santiago,2021-10-26,18.9
Región Metropolitana de Santiago,2021-11-02,16.1
Región Metropolitana de Santiago,2021-11-09,17.0
Región Metropolitana de Santiago,2021-11-16,18.8
Región Metropolitana de Santiago,2021-11-23,19.799999999999997
Región Metropolitana de Santiago,2021-11-30,18.1
Región Metropolitana de Santiago,2021-12-07,17.5
Región Metropolitana de Santiago,2021-12-14,19.4
Región Metropolitana de Santiago,2021-12-21,21.15
Región Metropolitana de Santiago,2021-12-28,20.450000000000003
Región Metropolitana de Santiago,2022-01-04,21.3
Región Metropolitana de Santiago,2022-01-11,21.4
Región Metropolitana de Santiago,2022-01-18,18.8
Región Metropolitana de Santiago,2022-01-25,19.299999999999997
Región Metropolitana de Santiago,2022-02-01,20.15
Región Metropolitana de Santiago,2022-02-08,20.549999999999997
Región Metropolitana de Santiago,2022-02-15,19.8
Región Metropolitana de Santiago,2022-02-22,19.6
Región Metropolitana de Santiago,2022-03-01,20.0
Región Metropolitana de Santiago,2022-03-08,20.0
Región Metropolitana de Santiago,2022-03-15,18.3
Región Metropolitana de Santiago,2022-03-22,16.45
Región Metropolitana de Santiago,2022-03-29,16.3
Región Metropolitana de Santiago,2022-04-05,17.799999999999997
Región Metropolitana de Santiago,2022-04-12,13.95
Región Metropolitana de Santiago,2022-04-19,14.3
Región Metropolitana de Santiago,2022-04-26,12.55
Región Metropolitana de Santiago,2022-05-03,12.45
Región Metropolitana de Santiago,2022-05-10,12.8
Región Metropolitana de Santiago,2022-05-17,11.3
Región Metropolitana de Santiago,2022-05-24,8.0
Región Metropolitana de Santiago,2022-05-31,8.9
Región Metropolitana de Santiago,2022-06-07,8.9
Región Metropolitana de Santiago,2022-06-14,7.55
Región Metropolitana de Santiago,2022-06-21,7.35
Región Metropolitana de Santiago,2022-06-28,7.8
Región Metropolitana de Santiago,2022-07-05,6.6
Región Metropolitana de Santiago,2022-07-12,6.3
Región Metropolitana de Santiago,2022-07-19,8.8
Región Metropolitana de Santiago,2022-07-26,9.0
Región Metropolitana de Santiago,2022-08-02,7.8
Región Metropolitana de Santiago,2022-08-09,9.0
Región Metropolitana de Santiago,2022-08-16,9.6
Región Metropolitana de Santiago,2022-08-23,11.7
Región Metropolitana de Santiago,2022-08-30,10.7
Región Metropolitana de Santiago,2022-09-06,10.1
Región Metropolitana de Santiago,2022-09-13,10.850000000000001
Región Metropolitana de Santiago,2022-09-20,10.9
Región Metropolitana de Santiago,2022-09-27,13.6
Región Metropolitana de Santiago,2022-10-04,14.100000000000001
Región Metropolitana de Santiago,2022-10-11,15.55
Región Metropolitana de Santiago,2022-10-18,15.2
Región Metropolitana de Santiago,2022-10-25,15.6
Región Metropolitana de Santiago,2022-11-01,17.6
Región Metropolitana de Santiago,2022-11-08,14.7
Región Metropolitana de Santiago,2022-11-15,20.05
Región Metropolitana de Santiago,2022-11-22,21.1
Región Metropolitana de Santiago,2022-11-29,19.3
Región Metropolitana de Santiago,2022-12-06,22.35
Región Metropolitana de Santiago,2022-12-13,21.7
Región Metropolitana de Santiago,2022-12-20,20.4
Región Metropolitana de Santiago,2022-12-27,20.4
Región Metropolitana de Santiago,2023-01-03,21.4
Región Metropolitana de Santiago,2023-01-10,20.1
Región Metropolitana de Santiago,2023-01-17,20.65
Región Metropolitana de Santiago,2023-01-24,22.1
Región Metropolitana de Santiago,2023-01-31,22.2
Región Metropolitana de Santiago,2023-02-07,22.9
Región Metropolitana de Santiago,2023-02-14,21.950000000000003
Región Metropolitana de Santiago,2023-02-21,21.5
Región Metropolitana de Santiago,2023-02-28,22.1
Región Metropolitana de Santiago,2023-03-07,20.4
Región Metropolitana de Santiago,2023-03-14,20.3
Región Metropolitana de Santiago,2023-03-21,22.0
Región Metropolitana de Santiago,2023-03-28,20.0
Región Metropolitana de Santiago,2023-04-04,19.2
Región Metropolitana de Santiago,2023-04-11,14.75
Región Metropolitana de Santiago,2023-04-18,14.350000000000001
Región Metropolitana de Santiago,2023-04-25,13.75
Región Metropolitana de Santiago,2023-05-02,10.2
Región Metropolitana de Santiago,2023-05-09,15.0
Región Metropolitana de Santiago,2023-05-16,11.9
Región Metropolitana de Santiago,2023-05-23,10.7
Región Metropolitana de Santiago,2023-05-30,12.4
Región Metropolitana de Santiago,2023-06-06,11.6
Región Metropolitana de Santiago,2023-06-13,10.6
Región Metropolitana de Santiago,2023-06-20,12.399999999999999
Región Metropolitana de Santiago,2023-06-27,9.2
Región Metropolitana de Santiago,2023-07-04,9.1
Región Metropolitana de Santiago,2023-07-11,9.05
Región Metropolitana de Santiago,2023-07-18,11.1
Región Metropolitana de Santiago,2023-07-25,11.7
Región Metropolitana de Santiago,2023-08-01,12.7
Región Metropolitana de Santiago,2023-08-08,12.1
Región Metropolitana de Santiago,2023-08-15,11.649999999999999
Región Metropolitana de Santiago,2023-08-22,9.6
Región Metropolitana de Santiago,2023-08-29,11.7
Región Metropolitana de Santiago,2023-09-05,11.55
Región Metropolitana de Santiago,2023-09-12,10.9
Región Metropolitana de Santiago,2023-09-19,12.3
Región Metropolitana de Santiago,2023-09-26,12.1
Región Metropolitana de Santiago,2023-10-03,12.0
Región Metropolitana de Santiago,2023-10-10,14.45
Región Metropolitana de Santiago,2023-10-17,14.6
Región Metropolitana de Santiago,2023-10-24,12.6
Región Metropolitana de Santiago,2023-10-31,15.4
Región Metropolitana de Santiago,2023-11-07,15.0
Región Metropolitana de Santiago,2023-11-14,14.2
Región Metropolitana de Santiago,2023-11-21,18.0
Región Metropolitana de Santiago,2023-11-28,17.8
Región Metropolitana de Santiago,2023-12-05,20.4
Región Metropolitana de Santiago,2023-12-12,19.15
Región Metropolitana de Santiago,2023-12-19,20.75
Región Metropolitana de Santiago,2023-12-26,19.45
Región Metropolitana de Santiago,2024-01-02,20.85
Región Metropolitana de Santiago,2024-01-09,21.3
Región Metropolitana de Santiago,2024-01-16,23.6
Región Metropolitana de Santiago,2024-01-23,23.7
Región Metropolitana de Santiago,2024-01-30,25.25
Región Metropolitana de Santiago,2024-02-06,23.1
Región Metropolitana de Santiago,2024-02-13,22.3
Región Metropolitana de Santiago,2024-02-20,20.15
Región Metropolitana de Santiago,2024-02-27,22.1
Región Metropolitana de Santiago,2024-03-05,19.2
Región Metropolitana de Santiago,2024-03-12,19.2
Región Metropolitana de Santiago,2024-03-19,21.4
Región Metropolitana de Santiago,2024-03-26,20.9
Región Metropolitana de Santiago,2024-04-02,17.4
Región Metropolitana de Santiago,2024-04-09,14.3
Región Metropolitana de Santiago,2024-04-16,16.2
Región Metropolitana de Santiago,2024-04-23,12.649999999999999
Región Metropolitana de Santiago,2024-04-30,10.4
Región Metropolitana de Santiago,2024-05-07,7.2
Región Metropolitana de Santiago,2024-05-14,6.8
Región Metropolitana de Santiago,2024-05-21,9.0
Región Metropolitana de Santiago,2024-05-28,11.4
Región Metropolitana de Santiago,2024-06-04,11.5
Región Metropolitana de Santiago,2024-06-11,9.75
Región Metropolitana de Santiago,2024-06-18,7.9
Región Metropolitana de Santiago,2024-06-25,8.55
Región Metropolitana de Santiago,2024-07-02,6.65
Región Metropolitana de Santiago,2024-07-09,5.85
Región Metropolitana de Santiago,2024-07-16,9.7
Región Metropolitana de Santiago,2024-07-23,8.2
Región Metropolitana de Santiago,2024-07-30,9.4
Región Metropolitana de Santiago,2024-08-06,8.1
Región Metropolitana de Santiago,2024-08-13,10.0
Región Metropolitana de Santiago,2024-08-20,7.7
Región Metropolitana de Santiago,2024-08-27,10.55
Región Metropolitana de Santiago,2024-09-03,11.4
Región Metropolitana de Santiago,2024-09-10,13.0
Región Metropolitana de Santiago,2024-09-17,11.5
Región Metropolitana de Santiago,2024-09-24,12.85
Región Metropolitana de Santiago,2024-10-01,16.75
Región Metropolitana de Santiago,2024-10-08,13.3
Región Metropolitana de Santiago,2024-10-15,16.3
Región Metropolitana de Santiago,2024-10-22,16.25
Región Metropolitana de Santiago,2024-10-29,15.2
Región Metropolitana de Santiago,2024-11-05,18.2
Región Metropolitana de Santiago,2024-11-12,17.3
Región Metropolitana de Santiago,2024-11-19,18.4
Región Metropolitana de Santiago,2024-11-26,17.25
Región Metropolitana de Santiago,2024-12-03,17.0
Región Metropolitana de Santiago,2024-12-10,19.9
Región Metropolitana de Santiago,2024-12-17,22.0
Región Metropolitana de Santiago,2024-12-24,20.9
Región Metropolitana de Santiago,2024-12-31,21.25
Región Metropolitana de Santiago,2025-01-07,21.2
Región Metropolitana de Santiago,2025-01-14,21.6
Región Metropolitana de Santiago,2025-01-21,21.9
Región Metropolitana de Santiago,2025-01-28,22.55
Región Metropolitana de Santiago,2025-02-04,23.3
Región Metropolitana de Santiago,2025-02-11,20.3
Región Metropolitana de Santiago,2025-02-18,21.9
Región Metropolitana de Santiago,2025-02-25,20.2
Región Metropolitana de Santiago,2025-03-04,20.1
Región Metropolitana de Santiago,2025-03-11,20.4
Región Metropolitana de Santiago,2025-03-18,18.9
Región Metropolitana de Santiago,2025-03-25,15.2
Región Metropolitana de Santiago,2025-04-01,15.5
Región Metropolitana de Santiago,2025-04-08,14.3
Región Metropolitana de Santiago,2025-04-15,15.0
Región Metropolitana de Santiago,2025-04-22,15.6
Región Metropolitana de Santiago,2025-04-29,13.0
Región Metropolitana de Santiago,2025-05-06,11.8
Región Metropolitana de Santiago,2025-05-13,11.3
Región Metropolitana de Santiago,2025-05-20,12.8
Región Metropolitana de Santiago,2025-05-27,10.3
Región Metropolitana de Santiago,2025-06-03,9.8
Región Metropolitana de Santiago,2025-06-10,8.1
Región Metropolitana de Santiago,2025-06-17,6.9
Región Metropolitana de Santiago,2025-06-24,6.6
Región Metropolitana de Santiago,2025-07-01,11.0
Región Metropolitana de Santiago,2025-07-08,7.65
Región Metropolitana de Santiago,2025-07-15,11.05
Región Metropolitana de Santiago,2025-07-22,9.5
Región Metropolitana de Santiago,2025-07-29,10.7
Región Metropolitana de Santiago,2025-08-05,11.2
Región Metropolitana de Santiago,2025-08-12,11.9
Región Metropolitana de Santiago,2025-08-19,9.95
Región Metropolitana de Santiago,2025-08-26,10.350000000000001
Región Metropolitana de Santiago,2025-09-02,10.15
Región Metropolitana de Santiago,2025-09-09,13.350000000000001
Región Metropolitana de Santiago,2025-09-16,12.25
Región Metropolitana de Santiago,2025-09-23,14.3
Región Metropolitana de Santiago,2025-09-30,15.7
Región Metropolitana de Santiago,2025-10-07,15.3
Región Metropolitana de Santiago,2025-10-14,16.5
Región Metropolitana de Santiago,2025-10-21,15.9
Región Metropolitana de Santiago,2025-10-28,17.15
Región Metropolitana de Santiago,2025-11-04,15.0
Región Metropolitana de Santiago,2025-11-11,18.2
Región Metropolitana de Santiago,2025-11-18,20.0
Región Metropolitana de Santiago,2025-11-25,17.200000000000003
Región Metropolitana de Santiago,2025-12-02,20.6
Región Metropolitana de Santiago,2025-12-09,18.200000000000003
Región Metropolitana de Santiago,2025-12-16,20.2
Región Metropolitana de Santiago,2025-12-23,21.5
Región Metropolitana de Santiago,2025-12-30,24.125
Región de Antofagasta,2020-12-29,20.9
Región de Antofagasta,2021-01-05,19.35
Región de Antofagasta,2021-01-12,20.0
Región de Antofagasta,2021-01-19,19.799999999999997
Región de Antofagasta,2021-01-26,19.25
Región de Antofagasta,2021-02-02,20.5
Región de Antofagasta,2021-02-09,19.4
Región de Antofagasta,2021-02-16,18.75
Región de Antofagasta,2021-02-23,20.6
Región de Antofagasta,2021-03-02,20.200000000000003
Región de Antofagasta,2021-03-09,19.65
Región de Antofagasta,2021-03-16,18.55
Región de Antofagasta,2021-03-23,18.1
Región de Antofagasta,2021-03-30,17.799999999999997
Región de Antofagasta,2021-04-06,18.3
Región de Antofagasta,2021-04-13,17.5
Región de Antofagasta,2021-04-20,17.2
Región de Antofagasta,2021-04-27,16.7
Región de Antofagasta,2021-05-04,16.6
Región de Antofagasta,2021-05-11,16.0
Región de Antofagasta,2021-05-18,16.2
Región de Antofagasta,2021-05-25,15.0
Región de Antofagasta,2021-06-01,14.9
Región de Antofagasta,2021-06-08,14.4
Región de Antofagasta,2021-06-15,14.6
Región de Antofagasta,2021-06-22,14.1
Región de Antofagasta,2021-06-29,13.0
Región de Antofagasta,2021-07-06,14.1
Región de Antofagasta,2021-07-13,13.1
Región de Antofagasta,2021-07-20,13.3
Región de Antofagasta,2021-07-27,12.7
Región de Antofagasta,2021-08-03,13.4
Región de Antofagasta,2021-08-10,13.3
Región de Antofagasta,2021-08-17,14.3
Región de Antofagasta,2021-08-24,13.4
Región de Antofagasta,2021-08-31,14.4
Región de Antofagasta,2021-09-07,14.0
Región de Antofagasta,2021-09-14,14.75
Región de Antofagasta,2021-09-21,15.0
Región de Antofagasta,2021-09-28,15.0
Región de Antofagasta,2021-10-05,15.75
Región de Antofagasta,2021-10-12,15.25
Región de Antofagasta,2021-10-19,15.2
Región de Antofagasta,2021-10-26,16.6
Región de Antofagasta,2021-11-02,17.0
Región de Antofagasta,2021-11-09,16.7
Región de Antofagasta,2021-11-16,16.5
Región de Antofagasta,2021-11-23,17.4
Región de Antofagasta,2021-11-30,18.1
Región de Antofagasta,2021-12-07,18.0
Región de Antofagasta,2021-12-14,18.6
Región de Antofagasta,2021-12-21,20.0
Región de Antofagasta,2021-12-28,20.2
Región de Antofagasta,2022-01-04,19.5
Región de Antofagasta,2022-01-11,19.6
Región de Antofagasta,2022-01-18,19.2
Región de Antofagasta,2022-01-25,19.1
Región de Antofagasta,2022-02-01,19.0
Región de Antofagasta,2022-02-08,19.3
Región de Antofagasta,2022-02-15,19.95
Región de Antofagasta,2022-02-22,19.2
Región de Antofagasta,2022-03-01,19.65
Región de Antofagasta,2022-03-08,18.5
Región de Antofagasta,2022-03-15,18.200000000000003
Región de Antofagasta,2022-03-22,17.3
Región de Antofagasta,2022-03-29,16.7
Región de Antofagasta,2022-04-05,16.7
Región de Antofagasta,2022-04-12,15.7
Región de Antofagasta,2022-04-19,16.05
Región de Antofagasta,2022-04-26,15.7
Región de Antofagasta,2022-05-03,15.0
Región de Antofagasta,2022-05-10,13.850000000000001
Región de Antofagasta,2022-05-17,13.1
Región de Antofagasta,2022-05-24,12.85
Región de Antofagasta,2022-05-31,12.6
Región de Antofagasta,2022-06-07,13.7
Región de Antofagasta,2022-06-14,12.7
Región de Antofagasta,2022-06-21,12.8
Región de Antofagasta,2022-06-28,13.3
Región de Antofagasta,2022-07-05,13.3
Región de Antofagasta,2022-07-12,12.8
Región de Antofagasta,2022-07-19,13.8
Región de Antofagasta,2022-07-26,13.6
Región de Antofagasta,2022-08-02,13.2
Región de Antofagasta,2022-08-09,13.4
Región de Antofagasta,2022-08-16,13.3
Región de Antofagasta,2022-08-23,13.399999999999999
Región de Antofagasta,2022-08-30,13.350000000000001
Región de Antofagasta,2022-09-06,14.2
Región de Antofagasta,2022-09-13,14.0
Región de Antofagasta,2022-09-20,14.4
Región de Antofagasta,2022-09-27,13.8
Región de Antofagasta,2022-10-04,14.8
Región de Antofagasta,2022-10-11,14.9
Región de Antofagasta,2022-10-18,15.1
Región de Antofagasta,2022-10-25,15.1
Región de Antofagasta,2022-11-01,15.9
Región de Antofagasta,2022-11-08,16.85
Región de Antofagasta,2022-11-15,17.9
Región de Antofagasta,2022-11-22,18.2
Región de Antofagasta,2022-11-29,18.35
Región de Antofagasta,2022-12-06,19.85
Región de Antofagasta,2022-12-13,20.15
Región de Antofagasta,2022-12-20,19.8
Región de Antofagasta,2022-12-27,19.2
Región de Antofagasta,2023-01-03,19.3
Región de Antofagasta,2023-01-10,20.8
Región de Antofagasta,2023-01-17,19.200000000000003
Región de Antofagasta,2023-01-24,19.8
Región de Antofagasta,2023-01-31,21.9
Región de Antofagasta,2023-02-07,21.4
Región de Antofagasta,2023-02-14,22.2
Región de Antofagasta,2023-02-21,21.5
Región de Antofagasta,2023-02-28,21.4
Región de Antofagasta,2023-03-07,21.5
Región de Antofagasta,2023-03-14,21.3
Región de Antofagasta,2023-03-21,21.6
Región de Antofagasta,2023-03-28,22.0
Región de Antofagasta,2023-04-04,20.5
Región de Antofagasta,2023-04-11,19.3
Región de Antofagasta,2023-04-18,18.9
Región de Antofagasta,2023-04-25,17.4
Región de Antofagasta,2023-05-02,15.55
Región de Antofagasta,2023-05-09,17.2
Región de Antofagasta,2023-05-16,16.9
Región de Antofagasta,2023-05-23,16.75
Región de Antofagasta,2023-05-30,15.9
Región de Antofagasta,2023-06-06,16.05
Región de Antofagasta,2023-06-13,14.85
Región de Antofagasta,2023-06-20,15.95
Región de Antofagasta,2023-06-27,16.4
Región de Antofagasta,2023-07-04,16.05
Región de Antofagasta,2023-07-11,16.9
Región de Antofagasta,2023-07-18,17.4
Región de Antofagasta,2023-07-25,17.1
Región de Antofagasta,2023-08-01,17.5
Región de Antofagasta,2023-08-08,17.1
Región de Antofagasta,2023-08-15,17.5
Región de Antofagasta,2023-08-22,16.5
Región de Antofagasta,2023-08-29,15.6
Región de Antofagasta,2023-09-05,16.2
Región de Antofagasta,2023-09-12,16.5
Región de Antofagasta,2023-09-19,16.7
Región de Antofagasta,2023-09-26,16.6
Región de Antofagasta,2023-10-03,16.4
Región de Antofagasta,2023-10-10,16.8
Región de Antofagasta,2023-10-17,18.0
Región de Antofagasta,2023-10-24,16.3
Región de Antofagasta,2023-10-31,16.6
Región de Antofagasta,2023-11-07,18.5
Región de Antofagasta,2023-11-14,17.4
Región de Antofagasta,2023-11-21,18.2
Región de Antofagasta,2023-11-28,18.65
Región de Antofagasta,2023-12-05,18.7
Región de Antofagasta,2023-12-12,20.0
Región de Antofagasta,2023-12-19,19.8
Región de Antofagasta,2023-12-26,20.6
Región de Antofagasta,2024-01-02,20.8
Región de Antofagasta,2024-01-09,21.2
Región de Antofagasta,2024-01-16,21.3
Región de Antofagasta,2024-01-23,21.9
Región de Antofagasta,2024-01-30,22.6
