RegionNombre,Semana,Atenciones_Urg
No Identificado,2020-12-29,771
No Identificado,2021-01-05,1365
No Identificado,2021-01-12,1272
No Identificado,2021-01-19,1131
No Identificado,2021-01-26,1111
No Identificado,2021-02-02,1109
No Identificado,2021-02-09,1154
No Identificado,2021-02-16,1078
No Identificado,2021-02-23,1254
No Identificado,2021-03-02,1371
No Identificado,2021-03-09,1550
No Identificado,2021-03-16,1491
No Identificado,2021-03-23,1471
No Identificado,2021-03-30,1527
No Identificado,2021-04-06,1420
No Identificado,2021-04-13,1208
No Identificado,2021-04-20,1265
No Identificado,2021-04-27,1162
No Identificado,2021-05-04,1135
No Identificado,2021-05-11,1371
No Identificado,2021-05-18,1518
No Identificado,2021-05-25,1516
No Identificado,2021-06-01,1660
No Identificado,2021-06-08,1664
No Identificado,2021-06-15,1682
No Identificado,2021-06-22,1618
No Identificado,2021-06-29,1708
No Identificado,2021-07-06,1633
No Identificado,2021-07-13,1706
No Identificado,2021-07-20,1850
No Identificado,2021-07-27,1832
No Identificado,2021-08-03,1975
No Identificado,2021-08-10,2093
No Identificado,2021-08-17,2141
No Identificado,2021-08-24,2278
No Identificado,2021-08-31,2226
No Identificado,2021-09-07,2293
No Identificado,2021-09-14,2308
No Identificado,2021-09-21,2660
No Identificado,2021-09-28,2514
No Identificado,2021-10-05,2634
No Identificado,2021-10-12,3060
No Identificado,2021-10-19,3166
No Identificado,2021-10-26,3075
No Identificado,2021-11-02,3797
No Identificado,2021-11-09,3675
No Identificado,2021-11-16,3736
No Identificado,2021-11-23,3537
No Identificado,2021-11-30,3364
No Identificado,2021-12-07,3320
No Identificado,2021-12-14,2869
No Identificado,2021-12-21,3197
No Identificado,2021-12-28,3576
No Identificado,2022-01-04,4504
No Identificado,2022-01-11,4513
No Identificado,2022-01-18,4772
No Identificado,2022-01-25,5279
No Identificado,2022-02-01,5374
No Identificado,2022-02-08,4635
No Identificado,2022-02-15,4286
No Identificado,2022-02-22,3480
No Identificado,2022-03-01,3151
No Identificado,2022-03-08,5011
No Identificado,2022-03-15,7005
No Identificado,2022-03-22,6194
No Identificado,2022-03-29,6208
No Identificado,2022-04-05,5584
No Identificado,2022-04-12,6168
No Identificado,2022-04-19,6881
No Identificado,2022-04-26,7306
No Identificado,2022-05-03,8214
No Identificado,2022-05-10,9930
No Identificado,2022-05-17,10390
No Identificado,2022-05-24,10667
No Identificado,2022-05-31,10766
No Identificado,2022-06-07,11501
No Identificado,2022-06-14,10258
No Identificado,2022-06-21,10214
No Identificado,2022-06-28,8757
No Identificado,2022-07-05,6641
No Identificado,2022-07-12,5718
No Identificado,2022-07-19,5925
No Identificado,2022-07-26,6610
No Identificado,2022-08-02,8282
No Identificado,2022-08-09,10101
No Identificado,2022-08-16,10308
No Identificado,2022-08-23,9346
No Identificado,2022-08-30,8988
No Identificado,2022-09-06,8566
No Identificado,2022-09-13,7108
No Identificado,2022-09-20,9472
No Identificado,2022-09-27,7955
No Identificado,2022-10-04,9111
No Identificado,2022-10-11,11769
No Identificado,2022-10-18,13106
No Identificado,2022-10-25,12907
No Identificado,2022-11-01,14798
No Identificado,2022-11-08,13419
No Identificado,2022-11-15,13044
No Identificado,2022-11-22,11466
No Identificado,2022-11-29,10642
No Identificado,2022-12-06,9158
No Identificado,2022-12-13,7626
No Identificado,2022-12-20,6874
No Identificado,2022-12-27,4641
Región Metropolitana de Santiago,2020-12-29,3483
Región Metropolitana de Santiago,2021-01-05,5338
Región Metropolitana de Santiago,2021-01-12,4956
Región Metropolitana de Santiago,2021-01-19,4563
Región Metropolitana de Santiago,2021-01-26,4289
Región Metropolitana de Santiago,2021-02-02,4279
Región Metropolitana de Santiago,2021-02-09,4432
Región Metropolitana de Santiago,2021-02-16,4922
Región Metropolitana de Santiago,2021-02-23,5890
Región Metropolitana de Santiago,2021-03-02,7217
Región Metropolitana de Santiago,2021-03-09,7785
Región Metropolitana de Santiago,2021-03-16,7633
Región Metropolitana de Santiago,2021-03-23,6853
Región Metropolitana de Santiago,2021-03-30,6287
Región Metropolitana de Santiago,2021-04-06,5703
Región Metropolitana de Santiago,2021-04-13,5164
Región Metropolitana de Santiago,2021-04-20,4941
Región Metropolitana de Santiago,2021-04-27,4764
Región Metropolitana de Santiago,2021-05-04,5180
Región Metropolitana de Santiago,2021-05-11,6609
Región Metropolitana de Santiago,2021-05-18,7353
Región Metropolitana de Santiago,2021-05-25,8242
Región Metropolitana de Santiago,2021-06-01,8404
Región Metropolitana de Santiago,2021-06-08,8171
Región Metropolitana de Santiago,2021-06-15,7177
Región Metropolitana de Santiago,2021-06-22,6178
Región Metropolitana de Santiago,2021-06-29,6313
Región Metropolitana de Santiago,2021-07-06,5865
Región Metropolitana de Santiago,2021-07-13,6664
Región Metropolitana de Santiago,2021-07-20,7076
Región Metropolitana de Santiago,2021-07-27,7810
Región Metropolitana de Santiago,2021-08-03,7867
Región Metropolitana de Santiago,2021-08-10,9088
Región Metropolitana de Santiago,2021-08-17,9295
Región Metropolitana de Santiago,2021-08-24,9842
Región Metropolitana de Santiago,2021-08-31,9867
Región Metropolitana de Santiago,2021-09-07,10382
Región Metropolitana de Santiago,2021-09-14,10666
Región Metropolitana de Santiago,2021-09-21,12408
Región Metropolitana de Santiago,2021-09-28,12062
Región Metropolitana de Santiago,2021-10-05,12491
Región Metropolitana de Santiago,2021-10-12,14052
Región Metropolitana de Santiago,2021-10-19,14681
Región Metropolitana de Santiago,2021-10-26,14738
Región Metropolitana de Santiago,2021-11-02,16102
Región Metropolitana de Santiago,2021-11-09,15036
Región Metropolitana de Santiago,2021-11-16,14632
Región Metropolitana de Santiago,2021-11-23,13034
Región Metropolitana de Santiago,2021-11-30,11816
Región Metropolitana de Santiago,2021-12-07,11165
Región Metropolitana de Santiago,2021-12-14,11113
Región Metropolitana de Santiago,2021-12-21,13261
Región Metropolitana de Santiago,2021-12-28,15880
Región Metropolitana de Santiago,2022-01-04,18731
Región Metropolitana de Santiago,2022-01-11,17428
Región Metropolitana de Santiago,2022-01-18,17687
Región Metropolitana de Santiago,2022-01-25,18642
Región Metropolitana de Santiago,2022-02-01,15112
Región Metropolitana de Santiago,2022-02-08,13331
Región Metropolitana de Santiago,2022-02-15,10381
Región Metropolitana de Santiago,2022-02-22,9670
Región Metropolitana de Santiago,2022-03-01,9852
Región Metropolitana de Santiago,2022-03-08,17355
Región Metropolitana de Santiago,2022-03-15,23412
